"data e hora","caso de teste","mensagem"
"[2021/09/08 22:02:41.171]","Acessar o site","Acessou o site"
"[2021/09/08 22:02:43.510]","Concordar com Cookies","Concordou com os Cookies"
"[2021/09/08 22:02:54.551]","Pesquisar o Produto","Digitou no campo de busca o produto Cabeceira Casal Estofada Uvaia CabeCasa MadeiraMadeira"
"[2021/09/08 22:02:54.977]","Confirmar Produto na lista","Confirmou Produto na lista Cabeceira Casal Estofada Uvaia CabeCasa MadeiraMadeira"
"[2021/09/08 22:02:55.040]","Confirmar ID Produto ","Confirmou Id na lista632562"
"[2021/09/08 22:03:01.493]","Seleciona produto na lista","Selecionou produto na lista Cabeceira Casal Estofada Uvaia CabeCasa MadeiraMadeira"
"[2021/09/08 22:03:03.503]","Verifica pagina do produto","Verificou pagina do produtoCabeceira Casal Estofada Uvaia CabeCasa MadeiraMadeira"
"[2021/09/08 22:03:03.565]","Verifica pre̤o","Confirmou se aparece o preco do Produto"
"[2021/09/08 22:03:03.817]","Clicar no botao Comprar","Clicou no botao comprar"
"[2021/09/08 22:03:09.793]","Verifica produto no carrinho","Verificou produto no carrinho"
"[2021/09/08 22:03:22.568]","Acessar o site","Acessou o site"
"[2021/09/08 22:03:23.195]","Concordar com Cookies","Concordou com os Cookies"
"[2021/09/08 22:03:33.779]","Pesquisar o Produto","Digitou no campo de busca o produto Escrivaninha 1 Gaveta Facility Demobile"
"[2021/09/08 22:03:34.448]","Confirmar Produto na lista","Confirmou Produto na lista Escrivaninha 1 Gaveta Facility Demobile"
"[2021/09/08 22:03:34.515]","Confirmar ID Produto ","Confirmou Id na lista526413"
"[2021/09/08 22:03:39.959]","Seleciona produto na lista","Selecionou produto na lista Escrivaninha 1 Gaveta Facility Demobile"
"[2021/09/08 22:03:43.104]","Verifica pagina do produto","Verificou pagina do produtoEscrivaninha 1 Gaveta Facility Demobile"
"[2021/09/08 22:03:43.217]","Verifica pre̤o","Confirmou se aparece o preco do Produto"
"[2021/09/08 22:03:43.515]","Clicar no botao Comprar","Clicou no botao comprar"
"[2021/09/08 22:03:48.781]","Verifica produto no carrinho","Verificou produto no carrinho"
